Site,Date,sample_depth,epi,Depth,CL_mg_L,SO4_mg_L,TDN_uMOL_L,TDN_mg_L,NO3_mg_L,TDP_mg_L,PO4_mg_L,DOC_mg_L,FI,Peak,UV_abs_254nm,SUVA,F2_UV,chla,stratification,NDVI
Mud Lake,7/15/16,hypo,0,2,4.710,2.903,30.329,0.425,0.002,0.00899,0.0021,8.56,1.38,468,0.2698,3.15,161216,5.35,unstratified,0.5489
Pear Reservoir,6/27/16,sur,1,0,0.268,0.957,13.931,0.195,0.092,0.00425,0.0024,2.32,1.33,466,0.0957,4.12,161215,3.21,stratified,0.5548
Pear Reservoir,6/27/16,hypo,0,9,0.191,1.066,12.272,0.172,0.130,0.00382,0.0026,2.37,1.4,468,0.1038,4.38,161215,7.01,stratified,0.5548
Pear Reservoir,7/18/16,sur,1,0,0.106,0.950,10.307,0.144,0.033,0.00309,0.0014,2.03,1.34,466,0.0738,3.63,161216,2.86,stratified,0.5548
Pear Reservoir,7/18/16,hypo,0,10,0.130,1.078,13.478,0.189,0.090,0.00410,0.0019,2.30,1.4,464,0.1126,4.9,161216,5.86,stratified,0.5548
Pear Reservoir,8/11/16,sur,1,0,0.128,0.878,27.549,0.386,0.014,0.00373,0.0012,2.78,1.34,464,0.0736,2.65,170111,23.27,stratified,0.5548
Pear Reservoir,8/11/16,hypo,0,10,0.251,1.065,17.557,0.246,0.041,0.00478,0.0018,2.31,1.39,464,0.1246,5.41,170111,20.20,stratified,0.5548
Red Deer Lake,6/29/16,sur,1,0,0.084,1.796,9.950,0.139,0.107,0.00309,0.0014,1.37,1.39,462,0.0381,2.78,161215,6.04,stratified,0.5723
Red Deer Lake,6/29/16,hypo,0,9,0.142,1.691,11.284,0.158,0.173,0.00219,0.0010,1.37,1.35,462,0.0383,2.8,161215,1.80,stratified,0.5723
Red Deer Lake,7/20/16,sur,1,0,0.127,1.622,9.816,0.138,0.114,0.00434,0.0015,1.03,1.36,462,0.0304,2.95,161216,1.15,stratified,0.5723
Red Deer Lake,7/20/16,hypo,0,10,0.109,1.774,8.652,0.121,0.010,0.00195,0.0017,1.22,1.44,462,0.0362,2.98,161216,1.19,stratified,0.5723
Red Deer Lake,8/3/16,sur,1,0,0.182,1.649,20.301,0.125,0.023,0.00219,0.0015,1.10,1.38,462,0.0305,2.77,161216,4.42,stratified,0.5723
Red Deer Lake,8/3/16,hypo,0,17,0.116,1.852,9.009,0.284,0.177,0.00305,0.0019,1.30,1.48,464,0.0389,3,161216,4.41,stratified,0.5723
Red Rock Lake,5/31/16,sur,1,0,0.361,0.242,24.664,0.346,NA,0.01322,0.0024,6.02,1.4,464,0.1844,3.06,161215,3.39,unstratified,0.6569
Red Rock Lake,5/31/16,hypo,0,1.5,0.317,0.248,26.985,0.378,NA,0.01433,0.0033,6.08,1.39,464,0.1833,3.02,161215,4.93,unstratified,0.6569
Snowbank Lake,7/13/16,sur,1,0,0.565,0.879,14.067,0.197,0.307,0.00223,0.0019,0.74,1.35,464,0.0264,3.56,161216,5.60,unstratified,0.2829
Snowbank Lake,7/13/16,hypo,0,6.5,0.061,0.876,14.178,0.199,0.313,0.00232,0.0016,0.71,1.35,460,0.0241,3.42,161216,3.70,unstratified,0.2829
Snowbank Lake,7/27/16,sur,1,0,0.099,0.963,13.104,0.184,0.316,0.00244,0.0015,0.75,1.36,464,0.0221,2.95,161216,4.32,unstratified,0.2829
Snowbank Lake,7/27/16,hypo,0,6.5,0.056,0.968,12.997,0.182,0.314,0.00084,0.0012,0.64,1.35,462,0.0214,3.34,161216,5.50,unstratified,0.2829
Snowbank Lake,8/10/16,sur,1,0,0.093,1.057,19.810,0.278,0.314,0.00080,0.0012,0.94,1.38,466,0.0198,2.11,170111,2.07,unstratified,0.2829
Snowbank Lake,8/10/16,hypo,0,6,0.059,1.058,14.577,0.204,0.294,0.00698,0.0017,0.82,1.39,464,0.0206,2.51,170111,6.95,unstratified,0.2829
Upper Diamond Lake ,6/30/16,sur,1,0,0.053,2.358,12.634,0.177,0.469,0.00296,0.0016,0.57,1.33,462,0.0231,4.04,161215,0.42,unstratified,0.3975
Upper Diamond Lake ,6/30/16,hypo,0,3,0.051,2.497,12.747,0.179,0.486,0.00199,0.0015,0.49,1.34,464,0.0221,4.55,161215,0.97,unstratified,0.3975
Upper Diamond Lake ,7/21/16,sur,1,0,0.101,2.679,7.985,0.112,0.354,0.00354,0.0014,0.52,1.37,466,0.0208,4.01,161216,1.02,partial,0.3975
Upper Diamond Lake ,7/21/16,hypo,0,3,0.078,2.639,7.994,0.112,0.381,0.00296,0.0013,1.27,1.39,468,0.0218,1.72,161216,3.16,partial,0.3975
Upper Diamond Lake ,8/1/16,sur,1,0,0.185,3.464,7.328,0.320,0.315,0.00350,0.0007,0.79,1.41,466,0.0253,3.19,161216,4.02,unstratified,0.3975
Upper Diamond Lake ,8/1/16,hypo,0,2.5,0.083,3.466,9.397,0.103,0.249,0.00274,0.0014,0.62,1.37,462,0.026,4.22,161216,8.26,unstratified,0.3975
Yankee Doodle ,7/5/16,sur,1,0,0.070,1.460,5.200,0.073,NA,0.00425,0.0010,0.81,1.35,460,0.0218,2.69,161215,2.08,partial,0.5135
Yankee Doodle ,7/5/16,hypo,0,4.5,0.091,1.458,4.383,0.061,NA,0.00737,0.0028,0.58,1.41,468,0.0225,3.86,161215,10.63,partial,0.5135
Yankee Doodle ,7/29/16,sur,1,0,0.078,1.339,5.005,0.040,NA,0.00478,0.0016,0.61,1.35,468,0.0229,3.76,170301,7.57,stratified,0.5135
Yankee Doodle ,7/29/16,hypo,0,6.5,0.056,1.301,22.848,0.070,NA,0.00788,0.0023,0.82,1.48,454,0.0213,2.59,161216,6.43,stratified,0.5135
