sort,Site,label,Date,sample number,sample_num,visit_number,Elevation,SA_m2,sample_depth,epi,Depth,CL_uMOL,CL_mgL,SO4_uMOL,SO4_mgL,TDN_uMOL_L,TDN_mg_L,NO3_uMOL,NO3_mg_L,TDP_uMOL,TDP_mg_L,PO4_uMOL,PO4_mg_L,DOC_mg_L,FI,Peak,UV_abs_254nm,SUVA,F2_UV,chla,Temp,stratification,watershed,max_depth,Fish,phyto_den,phyto_BV,phyto_Bvcheck,NDVI,NDVI_QAQC,apline
Yankee Doodle 425806.5,Yankee Doodle ,hypo,7/29/16,1,3,two,3267,16072,hypo,0,6.5,1.579556032,0.056,27.08678598,1.301,22.84818302,0.070101041,NA,NA,NA,0.00787796,0.220941203,0.002281144,0.819618691,1.48,454,0.0213,2.59,161216,6.4267,10.74,stratified,Yankee,7.5,1,1274.66,15730185.37,1014848.64,0.459215924,0.513453401,sub
Mitchell Lake425410,Mitchell Lake,sur,6/20/16,0,1,one,3272,53606,sur,1,0,3.159112064,0.112,50.48843659,2.425,18.44774368,0.258392011,10.78946986,0.669,0.669,<0.0008,0.181690399,0.001875893,1.280871934,1.32,468,0.0522,4.07,161215,0.9066,5.24,unstratified,Toll,1.75,1,NA,NA,NA,0.449431324,0.511337759,sub
Mitchell Lake425411,Mitchell Lake,hypo,6/20/16,0,1,one,3272,53606,hypo,0,1,3.074492991,0.109,49.88465734,2.396,22.65052655,0.31725913,10.46691471,0.649,0.649,0.004535736,0.139459366,0.001439871,1.397225097,1.32,466,0.0534,3.82,161215,3.3833,5.11,unstratified,Toll,1.75,1,NA,NA,NA,0.449431324,0.511337759,sub
Jasper Lake425360,Jasper Lake,sur,6/15/16,0,1,one,3296,24983,sur,1,0,6.402843201,0.227,27.58646535,1.325,19.31442737,0.27053139,10.59593677,0.657,0.657,0.002294078,0.097044876,0.001001956,1.743233568,1.35,466,0.0616,3.53,161215,2.3981,2.6,unstratified,Storm,10,1,338.5,1435359.589,92603.66,0.445796014,0.505348295,sub
Jasper Lake425363.5,Jasper Lake,hypo,6/15/16,0,1,one,3296,24983,hypo,0,3.5,4.343779088,0.154,27.83630504,1.337,17.76111526,0.248774613,11.04751399,0.685,0.685,0.005591271,0.176070167,0.001817866,1.614234074,1.33,466,0.0643,3.99,161215,2.2122,2.56,unstratified,Storm,10,1,417.32,NA,NA,0.445796014,0.505348295,sub
Jasper Lake425570,Jasper Lake,sur,7/6/16,1,3,two,3296,24983,sur,1,0,6.995176713,0.248,21.59031288,1.037,15.9449776,0.223336518,5.61245966,0.348,0.348,0.006381642,0.147920224,0.001527227,1.37030867,1.35,468,0.0485,3.54,161215,3.2904,9.63,stratified,Storm,10,1,537.4,2151976.373,138836.91,0.445796014,0.505348295,sub
Jasper Lake425573.5,Jasper Lake,hypo,7/6/16,1,3,two,3296,24983,hypo,0,3.5,2.312921332,0.082,23.40165061,1.124,11.96048945,0.167526988,5.61245966,0.348,0.348,0.003772664,0.181690399,0.001875893,1.243347018,1.37,468,0.0482,3.87,161215,9.7223,8.05,stratified,Storm,10,1,NA,NA,NA,0.445796014,0.505348295,sub
Jasper Lake425578,Jasper Lake,hypo,7/6/16,1,3,two,3296,24983,hypo,0,8,3.892477364,0.138,44.09670461,2.118,19.28478258,0.270116164,6.289825482,0.39,0.39,0.006543275,0.187307385,0.001933886,1.201403697,1.49,456,0.0342,2.85,161215,20.7831,5.25,stratified,Storm,10,1,3589.91,14691100.12,947811.02,0.445796014,0.505348295,sub
Forest Lake425560,Forest Lake,sur,7/5/16,0,1,one,3308,30656,sur,1,0,2.59498491,0.092,18.13419722,0.871,10.13517183,0.141960311,5.225393477,0.324,0.324,0.005182054,0.164819951,0.001701711,0.593572194,1.37,470,0.0231,3.89,161215,8.0575,8.29,unstratified,Forest,3,1,110.06,NA,NA,0.456295942,0.512105078,sub
Forest Lake425562.5,Forest Lake,hypo,7/5/16,0,1,one,3308,30656,hypo,0,2.5,2.736016698,0.097,17.46795806,0.839,9.537634738,0.133590788,4.564155414,0.283,0.283,0.003772664,0.187307385,0.001933886,0.589843253,1.31,466,0.0226,3.83,161215,4.6548,8.13,unstratified,Forest,3,1,154.13,NA,51861.76,0.456295942,0.512105078,sub
Forest Lake425800,Forest Lake,sur,7/29/16,1,3,two,3308,30656,sur,1,0,8.99782811,0.319,19.23765584,0.924,9.709269881,0.13599483,2.580441223,0.16,0.16,0.003633639,0.156373751,0.001614507,0.661861053,1.46,456,0.0166,2.51,161216,7.6485,13.86,unstratified,Forest,3,1,127.42,837581.2247,68782.86,0.456295942,0.512105078,sub
Forest Lake425802.5,Forest Lake,hypo,7/29/16,1,3,two,3308,30656,hypo,0,2.5,2.820635771,0.1,20.00799487,0.961,8.210559374,0.115002842,2.338524859,0.145,0.145,0.003726179,0.133814718,0.001381592,0.620123615,1.3,464,0.0137,2.2,161216,12.6037,12.09,unstratified,Forest,3,1,29069.69,NA,NA,0.456295942,0.512105078,sub
Isabelle Lake425430,Isabelle Lake,sur,6/22/16,0,1,one,3313,125121,sur,1,0,4.9361126,0.175,80.44837896,3.864,29.68155432,0.415740627,15.90196904,0.986,0.986,0.006167965,0.133814718,0.001381592,1.123421269,1.36,464,0.0429,3.81,161215,8.3326,3.7,unstratified,Apache,8,1,851.88,5180011.853,263018.09,0.43974166,0.478762948,alpine
Isabelle Lake425436.5,Isabelle Lake,hypo,6/22/16,0,1,one,3313,125121,hypo,0,6.5,3.412969283,0.121,82.8843159,3.981,21.40734925,0.299846319,14.20855449,0.881,0.881,0.00349591,0.119688815,0.001235747,1.469569125,1.37,462,0.0419,2.85,161215,4.4298,3.58,unstratified,Apache,8,1,1933.52,9329191.551,601882.12,0.43974166,0.478762948,alpine
Isabelle Lake425620,Isabelle Lake,sur,7/11/16,1,3,two,3313,125121,sur,1,0,12.83389276,0.455,60.23218435,2.893,13.8391294,0.193840534,8.418689491,0.522,0.522,0.003912977,0.162005364,0.001672651,0.785753597,1.35,466,0.0303,3.86,161215,2.6211,8.67,unstratified,Apache,8,1,635.41,NA,NA,0.43974166,0.478762948,alpine
Isabelle Lake425626.5,Isabelle Lake,hypo,7/11/16,1,3,two,3313,125121,hypo,0,6.5,3.554001072,0.126,57.29656804,2.752,17.6646561,0.247423539,8.402561733,0.521,0.521,0.004930716,0.139459366,0.001439871,0.775806141,1.36,462,0.0311,4,161215,15.0575,6.41,unstratified,Apache,8,1,1060.88,NA,NA,0.43974166,0.478762948,alpine
Isabelle Lake425870,Isabelle Lake,sur,8/5/16,2,5,three,3313,125121,sur,1,0,2.736016698,0.097,58.98298592,2.833,9.009015588,0.126186579,3.548106682,0.22,0.22,0.00345029,0.181690399,0.001875893,0.793096028,1.33,466,0.0227,2.86,170111,3.1788,12.01,stratified,Apache,8,1,945.83,NA,NA,0.43974166,0.478762948,alpine
Isabelle Lake425876,Isabelle Lake,hypo,8/5/16,2,5,three,3313,125121,hypo,0,6,2.143683186,0.076,55.56851021,2.669,23.13264053,0.324011956,4.080322684,0.253,0.253,0.003772664,0.178880689,0.001846883,0.850573424,1.4,466,0.027,3.18,170111,7.9006,8.96,stratified,Apache,8,1,5323.97,NA,NA,0.43974166,0.478762948,sub
Diamond Lake425510,Diamond Lake,sur,6/30/16,0,1,one,3335,67692,sur,1,0,1.918032324,0.068,32.74981887,1.573,12.04426277,0.168700375,6.773658211,0.42,0.42,0.004341585,0.128166806,0.00132328,0.893895105,1.34,464,0.0384,4.3,161215,3.9507,9.1,unstratified,Diamond,7,1,160.4,1096293.636,91341.35,0.478842401,0.547969573,sub
Diamond Lake425516,Diamond Lake,hypo,6/30/16,0,1,one,3335,67692,hypo,0,6,2.538572194,0.09,42.34782681,2.034,12.35516219,0.17305505,6.209186693,0.385,0.385,0.00424535,0.147920224,0.001527227,0.992985408,1.31,466,0.0385,3.88,161215,1.1526,6.66,unstratified,Diamond,7,1,73.2,564362.788,40549.74,0.478842401,0.547969573,sub
Diamond Lake425720,Diamond Lake,sur,7/21/16,1,3,two,3335,67692,sur,1,0,2.115476828,0.075,38.28793191,1.839,6.610899072,0.09259688,2.225630555,0.138,0.138,0.003541676,0.192921124,0.001991846,0.742507347,1.43,462,0.0252,3.39,161216,1.3384,13.43,unstratified,Diamond,7,1,218.12,1231289.271,73381.34,0.478842401,0.547969573,sub
Diamond Lake425726,Diamond Lake,hypo,7/21/16,1,3,two,3335,67692,hypo,0,6,3.046286633,0.108,39.72451011,1.908,5.830921132,0.081671963,2.419163647,0.15,0.15,0.001986931,0.102710769,0.001060454,0.780310886,1.41,462,0.0259,3.32,161216,1.4872,12.07,unstratified,Diamond,7,1,408.06,11269013.54,693855.1,0.478842401,0.547969573,sub
Diamond Lake425830,Diamond Lake,sur,8/1/16,2,5,three,3335,67692,sur,1,0,3.723239218,0.132,42.24372694,2.029,7.402928007,0.131620849,1.467625946,0.091,0.091,0.003587586,0.192921124,0.001991846,0.785940889,1.4,464,0.024,3.06,161216,1.7941,13.79,unstratified,Diamond,7,1,223.45,1331436.685,77654.55,0.478842401,0.547969573,sub
Diamond Lake425836,Diamond Lake,hypo,8/1/16,2,5,three,3335,67692,hypo,0,6,3.58220743,0.127,45.09606336,2.166,8.897194855,0.103690592,0.435449456,0.027,0.027,0.002826917,0.170446684,0.001759805,0.702689051,1.44,462,0.0264,3.76,161216,3.2224,12.82,unstratified,Diamond,7,1,233.3,NA,NA,0.478842401,0.547969573,sub
Albion425440,Albion,sur,6/23/16,0,1,one,3345,129743.89,sur,1,0,5.444322798,0.667561481,92.61787355,4.448510561,11.58287258,0.162237821,5.444322798,0.153692435,0.054564674,0.001690086,0.153643192,0.001586315,1.882713951,NA,NA,NA,NA,NA,15.63,9.44,unstratified,GLV,15,1,1096.79,NA,NA,0.376315792,0.425464148,sub
Albion425443,Albion,meta,6/23/16,0,1,one,3345,129743.89,meta,0,3,6.358345279,0.652717118,82.0318639,3.940056049,6.899756174,0.096642815,6.358345279,0.148309316,0.029956353,0.000927868,0.198878053,0.00205335,1.545038273,NA,NA,NA,NA,NA,17.64,9.42,unstratified,GLV,15,1,NA,NA,NA,0.376315792,0.425464148,sub
